image_path,x1,y1,x2,y2,category,image_id,split,category_old,x1_modified,y1_modified,x2_modified,y2_modified
img/Tulip-Back_Tank/img_00000030.jpg,39,48,137,239,3,53634,test,17,0.20744681,0.16,0.7287234,0.7966667
img/Abstract_Print_Twist-Back_Blouse/img_00000062.jpg,38,69,220,300,4,13111,train,3,0.14728682,0.23,0.85271317,1.0
img/Draped_Shawl_Collar_Cardigan/img_00000063.jpg,22,1,168,300,1,83859,train,6,0.11702128,0.0033333334,0.89361703,1.0
img/Essential_Knit_Tank/img_00000040.jpg,99,59,202,202,3,87269,train,17,0.33,0.22097379,0.67333335,0.7565543
img/Basic_Scoop_Neck_Tank/img_00000001.jpg,58,72,152,229,3,103107,train,17,0.29,0.23920266,0.76,0.7607973
img/Ornate_Print_Tank/img_00000026.jpg,61,70,146,177,3,126192,train,17,0.35882354,0.28,0.85882354,0.708
img/Paris_France_Tee/img_00000062.jpg,1,21,213,299,5,128354,val,18,0.0046948357,0.07,1.0,0.99666667
img/Sheer_Moments_Cropped_Tank/img_00000024.jpg,51,131,153,228,3,139580,test,17,0.22666667,0.43666667,0.68,0.76
img/Wake_Me_Up_Graphic_Tank/img_00000021.jpg,33,48,117,120,3,57255,train,17,0.22,0.32,0.78,0.8
img/Fringed_Tribal_Pattern_Cardigan/img_00000031.jpg,1,2,200,288,1,97400,val,6,0.005,0.006666667,1.0,0.96
img/Distressed_Open-Knit_Ombr&eacute;_Sweater/img_00000009.jpg,24,93,176,280,2,81685,train,16,0.12244898,0.31,0.8979592,0.93333334
img/Easy_Going_Muscle_Tee/img_00000047.jpg,95,72,213,247,5,85508,train,18,0.31666666,0.24,0.71,0.8233333
img/Heathered_Shawl_Collar_Cardigan/img_00000072.jpg,1,21,196,285,1,102603,train,6,0.0051020407,0.07,1.0,0.95
img/Cable_Knit_Dolman_Cardigan/img_00000033.jpg,1,42,199,295,1,59468,train,6,0.005,0.14,0.995,0.98333335
